name,priority,total_observations,recent_observations,ra_j2000,dec_j2000,v_mag,r_mag,gaia_g_mag,depth_mmag,duration_hours,t0_bjd_tdb,t0_unc,period_days,period_unc,current_oc_min,min_telescope_inches,expected_transit_snr_tess
WASP-107b,low,10,2,12:33:32.8440,-10:08:46.223,11.47,10.906,11.174,29.76,2.77,2456680.3346,0.0003,5.721488,3e-06,0.93,5.0,101.25
WASP-110b,medium,0,0,20:23:29.4437,-44:03:30.509,12.59,12.64,12.552,25.6,2.83,2457934.73871,0.00015,3.77840121,8.2e-07,0.0,6.97,35.54
WASP-113b,low,9,2,14:59:29.4780,+46:57:36.480,11.771,11.389,11.604,10.1,4.33,2457201.64037,4e-05,4.54217,3e-06,-0.5,6.17,29.1
WASP-114b,low,15,1,21:50:39.7729,+10:27:46.711,12.743,12.294,12.523,11.67,2.83,2457242.33222,0.0002,1.5487752,3e-07,-1.0,7.52,16.19
WASP-117b,medium,0,0,02:27:06.0977,-50:17:04.312,10.14,9.822,10.027,10.43,5.93,2457355.5137,0.0006,10.020607,1.1e-05,0.0,5.0,79.95
WASP-118b,low,3,3,01:18:12.1381,+02:42:10.251,11.04,10.98,10.92,8.7,4.92,2457423.045614,2e-05,4.046041,3e-06,6.9,6.45,37.67
WASP-119b,medium,8,0,03:43:44.0213,-65:11:37.864,12.2,11.861,12.101,15.96,2.96,2458924.8626,0.0004,2.4998045,1.7e-06,0.7,5.15,29.98
WASP-120b,medium,1,1,04:10:27.8559,-45:53:53.575,10.96,10.721,10.899,6.93,3.59,2456779.4363,0.0005,3.611271,4e-06,-2.5,8.15,26.23
WASP-121b,low,7,2,07:10:24.0606,-39:05:50.570,10.51,10.195,10.375,20.3,2.94,2457404.48798,6e-05,1.27492477,1.2e-07,0.5,5.0,87.87
WASP-123b,low,3,0,19:17:55.0316,-32:51:35.954,11.03,10.667,10.9,13.69,3.11,2456845.1716,0.0004,2.9776412,2.3e-06,2.8,5.0,50.79
WASP-124b,medium,6,3,22:10:51.4418,-30:44:58.762,12.7,12.37,12.575,18.36,2.6,2457173.60811,0.00012,3.3726492,8e-07,0.4,6.21,22.88
WASP-126b,low,8,3,04:13:29.7455,-69:13:36.561,11.203,10.837,11.066,7.97,3.44,2457758.5601,0.0006,3.2887885,1.8e-06,-0.3,7.28,28.09
WASP-127b,low,5,1,10:42:14.0835,-03:50:06.259,10.172,9.74,10.054,13.35,4.32,2457248.7421,0.00016,4.178062,2e-06,1.9,5.0,87.35
WASP-129b,low,4,3,11:45:11.7561,-42:03:50.222,12.18,11.59,11.813,13.59,2.67,2457027.43807,0.0002,5.748145,4e-06,-4.8,5.28,27.92
WASP-130b,medium,2,0,13:32:25.4360,-42:28:30.964,11.1,10.736,10.972,11.32,3.74,2456921.1438,0.0003,11.55098,1e-05,-4.7,5.0,44.62
WASP-131b,low,2,0,14:00:46.4447,-30:35:00.837,10.07,9.658,9.867,7.37,3.89,2456919.8244,0.0004,5.322023,5e-06,-5.0,6.69,51.12
WASP-132b,low,4,0,14:30:26.1892,-46:09:33.122,12.4,11.487,11.754,20.36,3.14,2457732.5679,0.0003,7.1335135,1.8e-06,0.5,5.0,51.08
WASP-133b,medium,4,0,20:58:18.0896,-35:47:47.712,12.9,12.477,12.715,9.73,3.42,2457262.80855,0.00019,2.1764231,8e-07,1.0,9.28,13.38
WASP-135b,low,31,2,17:49:08.3939,+29:52:44.741,13.28,12.98,13.004,20.71,1.65,2458606.9117,0.0003,1.4013788,4e-07,-0.76,8.17,18.1
WASP-136b,medium,0,0,00:01:18.1800,-08:55:34.653,9.928,9.71,9.819,4.91,5.56,2456776.9069,0.0011,5.215357,6e-06,0.0,9.55,40.0
WASP-138b,low,3,1,02:46:33.3867,-00:27:50.316,11.79,11.74,11.687,8.91,4.02,2457326.6226,0.0003,3.634433,5e-06,0.6,7.73,22.9
WASP-139b,low,3,2,03:18:14.9435,-41:18:07.664,12.48,12.3,12.271,14.11,2.77,2457196.7941,0.0003,5.924262,4e-06,2.8,6.26,23.56
WASP-140b,low,5,1,04:01:32.5498,-20:27:03.910,11.12,10.576,10.82,14.06,1.45,2457205.26576,0.00022,2.2359838,7e-07,0.8,5.0,40.59
WASP-141b,alert,3,3,04:47:17.8561,-17:06:54.594,12.4,12.267,12.482,10.78,3.59,2457019.5961,0.0003,3.310651,5e-06,18.1,7.7,16.77
WASP-142b,low,5,1,09:22:01.5338,-23:56:46.202,12.3,12.54,12.757,9.84,2.76,2457007.7787,0.0004,2.052868,2e-06,3.5,9.81,11.76
WASP-144b,low,3,0,21:23:03.0947,-40:02:53.763,13.18,12.94,12.915,14.95,2.1,2457157.27572,0.00015,2.2783152,1.3e-06,-2.3,8.15,15.32
WASP-145Ab,low,1,1,21:29:00.6895,-58:50:10.300,11.59,11.43,11.358,7.45,0.98,2456844.166,0.0003,1.7690381,8e-07,4.0,12.17,14.43
WASP-147b,alert,1,1,23:56:45.9687,-22:09:11.525,12.68,11.965,12.183,8.37,4.4,2456562.5958,0.0013,4.60273,3e-05,16.7,8.66,17.37
WASP-148b,high,3,3,16:56:31.3399,+44:18:09.549,12.04,11.846,12.085,8.79,3.01,2457957.4885,0.0059,8.80381,4.3e-05,8.2,8.52,16.56
WASP-151b,low,2,0,23:16:15.2317,+00:18:24.245,12.9,12.402,12.628,13.55,3.66,2457741.00889,0.0002,4.533471,4e-06,-0.9,6.41,19.8
WASP-153b,low,3,0,18:37:02.9816,+40:01:07.282,12.8,12.273,12.497,10.04,3.86,2458018.151,0.0007,3.3326099,2e-06,-0.1,8.17,16.56
WASP-156b,low,3,2,02:11:07.6236,+02:25:04.876,11.587,11.063,11.323,6.43,2.41,2454677.7078,0.002,3.836169,3e-06,-1.4,10.11,17.54
WASP-157b,low,4,1,13:26:37.2697,-08:19:03.351,12.91,11.954,12.182,8.24,1.94,2457265.70719,9e-05,3.951605,3e-06,2.5,10.36,12.22
WASP-158b,low,2,0,00:16:35.1213,-10:58:35.097,12.04,11.887,12.091,8.0,3.61,2457619.9203,0.001,3.656333,4e-06,-2.0,9.15,15.56
WASP-159b,medium,0,0,04:32:32.7560,-38:58:05.954,12.84,12.081,12.295,5.96,5.71,2457668.0857,0.0009,3.840401,7e-06,0.0,12.15,13.06
WASP-160Bb,low,5,4,05:50:43.0631,-27:37:23.418,13.09,12.632,12.884,22.5,2.85,2457383.65573,0.00021,3.768495,3e-06,-1.4,6.94,26.13
WASP-161b,medium,0,0,08:25:21.0836,-11:30:03.551,11.08,10.711,10.899,5.89,5.16,2457416.5297,0.0011,5.4060425,4.8e-06,0.0,9.03,26.08
WASP-162b,medium,1,0,11:13:10.2913,-17:39:27.885,12.21,11.825,12.065,11.75,4.27,2457701.3824,0.0006,9.62468,1e-05,-8.6,5.96,26.71
WASP-163b,low,1,1,17:06:09.0131,-10:24:46.742,12.663,12.276,12.251,18.07,2.26,2457918.46277,0.0004,1.6096884,1.5e-06,0.7,5.98,29.31
WASP-164b,low,14,2,22:59:29.6187,-60:26:52.115,12.62,12.48,12.468,15.67,1.62,2457747.6583,0.0003,1.7771363,6e-07,1.0,6.87,17.72
WASP-165b,high,1,0,23:50:19.3250,-17:04:39.291,12.683,12.71,12.543,6.78,4.24,2457649.7122,0.0009,3.465509,2.3e-05,2.6,14.07,11.54
WASP-166b,medium,0,0,09:39:30.0860,-20:58:56.877,9.35,9.051,9.257,3.57,3.6,2457664.3289,0.0006,5.44354,4e-06,0.0,13.44,31.04
WASP-167b,low,4,1,13:04:10.5340,-35:32:58.321,10.52,10.424,10.579,9.03,2.98,2456717.82564,0.00019,2.021957,7e-07,2.7,6.21,35.61
WASP-168b,low,3,2,06:26:58.7141,-46:49:17.226,12.12,11.505,11.714,8.53,1.97,2457424.5286,0.0004,4.153658,3e-06,-1.8,8.81,16.51
WASP-169b,medium,0,0,08:29:32.9490,-12:56:41.106,12.17,11.514,11.721,5.81,6.09,2457697.0184,0.0014,5.6114118,9.2e-06,0.0,10.52,18.28
WASP-170b,low,8,6,09:01:39.9237,-20:43:13.344,12.613,12.221,12.469,15.78,2.06,2457802.3923,0.0002,2.3447802,3.6e-06,-2.2,5.86,20.49
